,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,default_request_term,person_gender_FEMALE,person_gender_MALE,credit_history_marital_status_C,credit_history_marital_status_D,credit_history_marital_status_S,credit_history_marital_status_V,var_max_sbs_qual_12m_CPP,var_max_sbs_qual_12m_DEFICIENTE,var_max_sbs_qual_12m_DUDOSO,var_max_sbs_qual_12m_NORMAL,var_max_sbs_qual_12m_PERDIDA,person_degree_type_desc_Carrera Tecnica,person_degree_type_desc_Postgrado,person_degree_type_desc_Primaria,person_degree_type_desc_Secundaria,person_degree_type_desc_Universitaria
271,0,0.09509791338768837,0.22727272727272727,0.17094017094017094,6,0.14769042520648518,0.09085650820302936,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
272,0,0.12437263153628436,0.4772727272727273,0.08547008547008546,6,0.08683739020233362,0.10826797729737295,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
273,0,0.10079506076101569,0.1477272727272727,0.08547008547008546,6,0.08683739020233362,0.08322559205233149,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
274,0,1.0,0.8409090909090909,0.042735042735042736,12,0.1428789931390115,1.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
275,0,0.06873188821864509,0.39749536178107603,0.0,2,0.005265917930341301,0.12120894112708575,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
276,0,0.09381311681381257,0.23863636363636365,0.06837606837606837,3,0.03903334353013154,0.08814950851785777,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
277,1,0.09071798647653659,0.20454545454545453,0.08547008547008546,12,0.19745225713411704,0.05996169587574772,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
278,0,0.08899681840596059,0.13636363636363635,0.17094017094017094,6,0.14769042520648518,0.12925595550425018,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
279,1,0.0682887617452158,0.8409090909090909,0.08547008547008546,6,0.11299654765546477,0.048514184769300736,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
280,0,0.09523166192692466,0.2159090909090909,0.042735042735042736,3,0.02854520823318621,0.07641917654878091,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
281,1,0.06940333290551814,0.20454545454545453,0.08547008547008546,6,0.08683739020233362,0.06195123657606605,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
282,0,0.11970359162112687,0.7954545454545454,0.0,1,0.00010051129659572645,0.051360758386679264,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
283,1,0.08224184167685543,0.7727272727272727,0.042735042735042736,3,0.02854520823318621,0.08046600437261693,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
284,0,0.06670404420456771,0.09090909090909091,0.09401709401709403,6,0.12119477341257703,0.06299355185923672,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
285,0,0.0838900559987571,0.5113636363636364,0.042735042735042736,3,0.027168640475462136,0.07543481302690035,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
286,0,0.10116388249042482,0.1477272727272727,0.042735042735042736,3,0.027168640475462136,0.08742330429915697,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
287,1,0.13973750160430698,0.42045454545454547,0.6410256410256411,12,0.9216405191626974,0.10435949907300521,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
288,0,0.10052891467788894,0.6931818181818182,0.1282051282051282,12,0.26659528907922914,0.06985675306957707,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
289,0,0.06431818642384776,0.39749536178107603,0.042735042735042736,6,0.06275837958309663,0.04817749326616994,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
290,0,0.0752963746039895,0.09090909090909091,0.042735042735042736,3,0.028584538740549753,0.10767050292090813,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
