,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,default_request_term,person_gender_FEMALE,person_gender_MALE,credit_history_marital_status_C,credit_history_marital_status_D,credit_history_marital_status_S,credit_history_marital_status_V,var_max_sbs_qual_12m_CPP,var_max_sbs_qual_12m_DEFICIENTE,var_max_sbs_qual_12m_DUDOSO,var_max_sbs_qual_12m_NORMAL,var_max_sbs_qual_12m_PERDIDA,person_degree_type_desc_Carrera Tecnica,person_degree_type_desc_Postgrado,person_degree_type_desc_Primaria,person_degree_type_desc_Secundaria,person_degree_type_desc_Universitaria
0,1,0.05554482264808598,0.11363636363636365,0.059829059829059825,6,0.11637023117598219,0.03988263896176584,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,0.05448834428765393,0.5795454545454546,0.14529914529914528,12,0.294249005812175,0.037127890299786616,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2,0,0.08784847236201272,0.7386363636363636,0.042735042735042736,3,0.027168640475462136,0.07283718707804247,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3,0,0.13609927113801093,0.8863636363636364,0.08547008547008546,6,0.08683739020233362,0.11971956948962814,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4,0,0.08501408412648019,0.9431818181818182,0.042735042735042736,3,0.02994362627277892,0.06583726868856474,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
5,0,0.08774984970176777,0.9090909090909091,0.08547008547008546,6,0.08683739020233362,0.08563391286248996,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
6,0,0.07934665865076096,0.8181818181818182,0.29914529914529914,12,0.47491150635843205,0.06310292556056948,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
7,1,0.10897398658461623,0.05681818181818182,0.059829059829059825,6,0.11637023117598219,0.09307132612726066,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
8,0,0.11523720100784254,0.39749536178107603,0.03418803418803419,6,0.05548660577721452,0.10187002249274145,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
9,1,0.049747701619167924,0.8863636363636364,0.042735042735042736,6,0.056592230039767516,0.08738389243362367,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10,0,0.12149230945899392,0.5,0.008547008547008544,4,0.017108770703142075,0.15180892248224717,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
11,0,0.05612169766075156,0.8409090909090909,0.059829059829059825,6,0.11637023117598219,0.07972773173120651,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
12,0,0.049974668837265854,0.06818181818181819,0.042735042735042736,6,0.0953109295109907,0.04214765452828209,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
13,0,0.050369159478245606,0.17045454545454544,0.042735042735042736,6,0.0953109295109907,0.04591247769965369,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
14,1,0.06182830200149961,0.1477272727272727,0.07692307692307693,6,0.08078923218109514,0.06558925385664813,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
15,0,0.08390626794290694,0.32954545454545453,0.042735042735042736,3,0.027168640475462136,0.06468884457970406,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
16,0,0.05984774282452597,0.6704545454545454,0.06837606837606837,6,0.12689769698029105,0.09941500216881802,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
17,0,0.05160667121501767,0.38636363636363635,0.042735042735042736,6,0.056592230039767516,0.07546215646972401,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
18,0,0.06256189247428043,0.9318181818181819,0.017094017094017096,3,0.017152471266879347,0.07568090390737048,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
19,0,0.09808226210660705,0.10227272727272728,0.042735042735042736,3,0.027168640475462136,0.0808002472102704,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
20,0,0.10392801896797466,0.22727272727272727,0.17094017094017094,6,0.14769042520648518,0.09709081050827299,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
21,0,0.26332115185863186,0.17045454545454544,0.042735042735042736,3,0.018205654852947603,0.2140381408682268,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
22,0,0.11545065827248226,0.625,0.21367521367521364,6,0.1779355853690513,0.1569870337216217,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
23,0,0.21906389532488063,0.9204545454545455,0.0,1,0.00010051129659572645,0.12173604551019694,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
24,1,0.08410621525408846,0.05681818181818182,0.3162393162393162,12,0.5530000437005639,0.060879945429740796,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
25,0,0.09986962894912828,0.1477272727272727,0.042735042735042736,3,0.027168640475462136,0.08122258369188792,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
26,0,0.06760110511419289,0.06818181818181819,0.10256410256410257,6,0.12939299916968933,0.05102406688354847,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
27,0,0.06883456386492748,0.011363636363636364,0.08547008547008546,6,0.08683739020233362,0.0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
28,0,0.18589695958497424,0.1477272727272727,0.0,1,0.00010051129659572645,0.0905000524714031,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
29,1,0.10890508582197934,0.36363636363636365,0.47863247863247865,12,0.7003845649608882,0.08002850946234302,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
30,0,0.09727166489911443,0.2159090909090909,0.08547008547008546,6,0.08683739020233362,0.12451242407387976,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
31,0,0.16357176149528166,0.125,0.17094017094017094,6,0.14075077568500635,0.12713820967572673,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
32,0,0.08147312532508326,0.48863636363636365,0.14529914529914528,6,0.12307826770965347,0.08798544793087766,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
33,0,0.1548389275798945,0.11363636363636365,0.21367521367521364,6,0.1779355853690513,0.1480996023717074,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
34,1,0.09111247711751633,0.25,0.08547008547008546,6,0.08683739020233362,0.07215360128729843,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
35,0,0.0908085031647066,0.9090909090909091,0.042735042735042736,3,0.02854520823318621,0.07581762105152691,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
36,0,0.08636102648626376,0.17045454545454544,0.042735042735042736,3,0.030188349429707648,0.06723178367789555,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
37,0,0.06279831665979911,0.2159090909090909,0.08547008547008546,6,0.08683739020233362,0.1764327608003638,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
38,0,0.19766818203311293,0.8409090909090909,0.21367521367521364,6,0.17785255429795047,0.19965666211914507,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
39,1,0.0803517991880518,0.07954545454545454,0.29914529914529914,12,0.47491150635843205,0.05084041697274985,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
40,1,0.0645640675767872,0.39749536178107603,0.09401709401709403,6,0.09246165275532056,0.10376202469654039,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
41,0,0.12736508622727793,0.022727272727272728,0.21367521367521364,6,0.1779355853690513,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
42,0,0.07896837995393105,0.4431818181818182,0.042735042735042736,3,0.028584538740549753,0.09957906275579809,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
43,1,0.08115023743743204,0.125,0.08547008547008546,6,0.08683739020233362,0.07097783373561409,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
44,0,0.06696883929234865,0.125,0.10256410256410257,6,0.12939299916968933,0.053717598908594816,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
45,0,0.07775248414269213,0.29545454545454547,0.042735042735042736,3,0.02891666302495302,0.09126665967047959,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
46,0,0.09249184336559961,0.3522727272727273,0.3675213675213675,12,0.6334265612026396,0.06813411690628608,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
47,1,0.09581258992562772,0.6022727272727273,0.08547008547008546,6,0.08683739020233362,0.0770207320460349,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
48,0,0.10432115861360858,0.1477272727272727,0.17094017094017094,6,0.14075077568500635,0.09619757232308393,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
49,0,0.0960557690878755,0.20454545454545453,0.17094017094017094,6,0.14769042520648518,0.11469082684436982,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
50,1,0.07091914968352935,0.8181818181818182,0.11111111111111112,6,0.1375912249268016,0.05123832511281352,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
51,0,0.08777686960868421,0.5909090909090909,0.16239316239316237,6,0.14128392256260108,0.09385227550984714,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
52,0,0.09142590803774682,0.11363636363636365,0.06837606837606837,3,0.039894244635755804,0.09668065904082275,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
53,1,0.07568140827754849,0.3068181818181818,0.042735042735042736,3,0.02854520823318621,0.07461451009199986,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
54,0,0.13266368997358807,0.25,0.042735042735042736,6,0.05656163964515143,0.12200988795606395,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
55,1,0.13583852903626747,0.3181818181818182,0.3846153846153846,12,0.6521784731023031,0.12103899209430861,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
56,0,0.08037206411823912,0.18181818181818182,0.08547008547008546,6,0.11299654765546477,0.05509497323958443,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
57,0,0.0777822060403002,0.8522727272727273,0.10256410256410257,6,0.0989380763011843,0.12800952646307762,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
58,0,0.10842413147886705,0.7159090909090909,0.08547008547008546,3,0.0470218065813049,0.0915400939937734,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
59,0,0.08542883969764724,0.7840909090909091,0.08547008547008546,6,0.08683739020233362,0.08076678210375346,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
60,0,0.07759306669188525,0.10227272727272728,0.1282051282051282,10,0.22089760957916357,0.05509497323958443,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
61,0,0.05166881700092543,0.375,0.1282051282051282,12,0.24085565703797585,0.06121663693287159,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
62,0,0.10099095508615973,0.09090909090909091,0.08547008547008546,6,0.08683739020233362,0.08864169027879806,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
63,0,0.07025851295942287,0.10227272727272728,0.2393162393162393,12,0.3900581217497706,0.045024836464127055,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
64,0,0.11561277771398078,0.875,0.08547008547008546,6,0.08683739020233362,0.0975283054185469,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
65,0,0.06859273569802553,0.6136363636363636,0.10256410256410257,6,0.12939299916968933,0.07496997470878372,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
66,1,0.06435601429353077,0.8863636363636364,0.09401709401709403,6,0.08774199187169515,0.10229964669255256,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
67,0,0.05569613412681793,0.18181818181818182,0.0,4,0.02688021675479614,0.041657921432819114,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
68,1,0.11463600807895218,0.5454545454545454,0.17094017094017094,6,0.14769042520648518,0.09651659845384265,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
69,1,0.09484797924871148,0.13636363636363635,0.17094017094017094,6,0.14769042520648518,0.10764560814356176,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
70,0,0.06738089287282406,0.39749536178107603,0.0,2,0.005265917930341301,0.1259313674047644,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
71,0,0.15985382230358217,0.7840909090909091,0.47008547008547,7,0.3787440457981908,0.13958559250708363,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
72,0,0.07737825843189972,0.19318181818181818,0.042735042735042736,3,0.027168640475462136,0.0704583085668311,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
73,1,0.06598801667128257,0.06818181818181819,0.08547008547008546,6,0.08683739020233362,0.05622748102284255,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
74,1,0.050481292091948744,0.39749536178107603,0.042735042735042736,6,0.0706681816195429,0.07729416633434777,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75,0,0.12036963232661664,0.20454545454545453,0.21367521367521364,6,0.219818205654853,0.13149479368244307,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
76,1,0.0678010524253744,0.39749536178107603,0.10256410256410257,6,0.09886378534283094,0.04826931822156925,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
77,0,0.24224022048244045,0.625,0.3846153846153846,12,0.6521784731023031,0.21167109759680977,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
78,0,0.05263072568715001,0.8636363636363636,0.05128205128205128,6,0.062640388061006,0.09277054839612413,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
79,1,0.10274049405899797,0.03409090909090909,0.1282051282051282,6,0.11708692042127344,0.09148540710812607,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
80,0,0.07012746641087822,0.29545454545454547,0.1282051282051282,12,0.26659528907922914,0.04422902018399972,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
81,0,0.057632110457379475,0.6363636363636364,0.042735042735042736,6,0.0953109295109907,0.048514184769300736,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
82,1,0.14994832442802236,0.045454545454545456,0.47008547008547,12,0.688738364724905,0.12967747577570224,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
83,1,0.08952775957686826,0.7613636363636364,0.06837606837606837,3,0.03487741991871695,0.11202708689264351,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
84,1,0.16537804227264435,0.5681818181818182,0.21367521367521364,6,0.1779355853690513,0.14907049823346277,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
85,0,0.07818885563939232,0.05681818181818182,0.042735042735042736,3,0.027168640475462136,0.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
86,0,0.10827417099548094,0.22727272727272727,0.17094017094017094,6,0.14769042520648518,0.11608493371112744,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
87,1,0.08160822485966537,0.045454545454545456,0.042735042735042736,3,0.027168640475462136,0.06230996606849268,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
