idPrestamo,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,person_gender,credit_history_marital_status,var_max_sbs_qual_12m,person_degree_type_desc,default_request_term,default_request_amount
LIBDISP0270311444,1,366.19,71,"1,800",6,337.67,1464.75,FEMALE,C,NORMAL,Universitaria,0,0
LIBDISP5319524305,0,490.97,51,"2,400",6,346.12,2682.955,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4240564478,0,517.98,9,"1,300",3,114.11,2763.81,MALE,S,NORMAL,Universitaria,1,0
LIBDISP2688420138,1,401.44,26,"1,000",3,88.14,2133.005,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP4434076204,0,823.22,21,"1,000",6,152.25,3487.896667,MALE,C,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP1481246987,1,846.72,27,"5,000",12,"1,515.20",3460.141667,FEMALE,D,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP9781244340,0,436.16,15,"1,500",6,281.39,1575,FEMALE,S,CPP,Universitaria,1,0
LIBDISP9346109195,0,416.99,74,"1,700",6,249.22,3659.408333,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP2235261713,0,643.8,62,"1,500",3,130.42,2616.856667,MALE,S,NORMAL,Secundaria,0,0
LIBDISP3039800021,0,473.59,68,"1,500",6,221.53,2308.88,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP7420563031,0,415.59,8,"2,000",10,528.3,1575,MALE,S,NORMAL,Universitaria,0,0
LIBDISP6311975097,0,223.7,32,"2,000",12,573.97,1750,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP9125574795,0,588.78,7,"1,500",6,221.53,2534,MALE,S,NORMAL,Secundaria,1,0
LIBDISP8116628563,0,361.3,8,"3,300",12,915.39,1287.125,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP5859873271,0,697.01,76,"1,500",6,221.53,2788.041667,MALE,S,NORMAL,Secundaria,1,0
LIBDISP6439418738,0,348.97,53,"1,700",6,318.91,2143.166667,MALE,S,NORMAL,Secundaria,0,0
LIBDISP6088107847,1,317.61,77,"1,600",6,223.6,2924.44,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP4894289643,0,253.51,15,500,4,84.33,1190.875,MALE,S,NORMAL,Universitaria,0,0
LIBDISP7663237213,1,689.78,47,"2,500",6,360.78,2759.12,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4099269899,1,543.31,11,"2,500",6,360.78,3077.265,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4203482098,0,340,,500,2,34.87,3600,FEMALE,C,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP2856990587,0,"1,024.48",68,"6,000",7,889.5,3990.333333,FEMALE,S,NORMAL,Postgrado,0,0
LIBDISP8842150494,0,414,16,"1,000",3,84.99,2014.191667,MALE,S,NORMAL,Universitaria,0,0
LIBDISP5917621256,1,329.69,5,"1,500",6,221.53,1607.375,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP3252329045,1,214.91,,"1,000",6,184.53,2209.608333,MALE,S,NORMAL,Universitaria,1,0
LIBDISP8622814856,0,732.22,17,"3,000",6,525.83,3759.041667,FEMALE,S,NORMAL,Secundaria,1,0
LIBDISP9250584010,1,343.11,,"1,700",6,249.05,1379.875,MALE,S,NORMAL,Secundaria,1,0
LIBDISP5885056242,0,"1,634.30",54,"5,000",12,"1,515.20",6051.041667,MALE,S,CPP,Carrera TÃƒÂ©cnica,0,0
LIBDISP0546959453,0,230.82,75,"1,100",6,166.16,2652.031667,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP5154923352,1,601.73,2,"2,000",6,290.75,2615.293333,MALE,S,NORMAL,Universitaria,1,0
